arm,test_season,matches,exact_score_nll,total_goals_error,over_2_5_brier,btts_brier,exact_score_nll_vs_baseline,total_goals_error_vs_baseline,over_2_5_brier_vs_baseline,btts_brier_vs_baseline
DOMESTIC_AD,2022/23,804,2.937212777869463,1.3395941692925448,0.24729062124858706,0.25209868720918244,0.0,0.0,0.0,0.0
DOMESTIC_AD_GOALS_FORM,2022/23,804,2.93542943053957,1.338827789235954,0.24709367152124462,0.25098568561739937,-0.001783347329893381,-0.0007663800565909096,-0.0001969497273424381,-0.0011130015917830693
DOMESTIC_AD_XG_FORM,2022/23,804,2.9336927075229515,1.3378571561074184,0.2471167419781874,0.2517795953299116,-0.0035200703465116945,-0.0017370131851264237,-0.00017387927039966278,-0.0003190918792708164
DOMESTIC_AD,2023/24,806,3.005149652430952,1.3736670708228684,0.24388473998044058,0.24708069330891433,0.0,0.0,0.0,0.0
DOMESTIC_AD_GOALS_FORM,2023/24,806,3.0080266367389257,1.3741464433967354,0.24440859633727444,0.2478357717057292,0.0028769843079738955,0.0004793725738669874,0.0005238563568338572,0.0007550783968148789
DOMESTIC_AD_XG_FORM,2023/24,806,3.0081366917365333,1.3746915672121727,0.24479069097520892,0.24728908106242745,0.002987039305581529,0.0010244963893042414,0.0009059509947683397,0.00020838775351311734
DOMESTIC_AD,2024/25,957,3.072858409891447,1.413658336508661,0.2462770801302801,0.2477921125577967,0.0,0.0,0.0,0.0
DOMESTIC_AD_GOALS_FORM,2024/25,957,3.071991256539851,1.4128884249879798,0.2466839972871579,0.24765834326706127,-0.0008671533515962615,-0.0007699115206811769,0.00040691715687779517,-0.00013376929073544153
DOMESTIC_AD_XG_FORM,2024/25,957,3.06919155053158,1.407966367736477,0.24522197677579247,0.24696211460604156,-0.003666859359867214,-0.00569196877218392,-0.0010551033544876354,-0.0008299979517551459
DOMESTIC_AD,2025/26,961,3.0545790501950862,1.398359828629194,0.24660758314805986,0.2502924488206743,0.0,0.0,0.0,0.0
DOMESTIC_AD_GOALS_FORM,2025/26,961,3.052943745807978,1.3985392243631458,0.24674629211847143,0.24966083608128634,-0.0016353043871082384,0.00017939573395175934,0.00013870897041157182,-0.0006316127393879711
DOMESTIC_AD_XG_FORM,2025/26,961,3.050781588103593,1.3957925342344617,0.2462612330767169,0.24979436474182126,-0.00379746209149312,-0.0025672943947323557,-0.0003463500713429546,-0.000498084078853045
