season,team_id,team_name,ao_first_elo,power_elo,achievement_reserve,ao_live_elo,last_event_utc,last_match_id,model_version,config_id
2026/27,1,Arsenal,1992.8698752228167,2043.2527698893293,0.0,2043.2527698893293,2027-05-29T19:00:00Z,pilot-005,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,10,Pafos,1444.0355195824964,1444.0355195824964,0.0,1444.0355195824964,,,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,2,Como,1421.4363341035685,1421.4363341035685,0.0,1421.4363341035685,,,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,3,Galatasaray,1756.281979019065,1775.0028148537692,0.0,1775.0028148537692,2026-09-16T19:00:00Z,pilot-002,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,4,Sporting CP,1926.710636167372,1901.302585156136,0.0,1901.302585156136,2027-05-29T19:00:00Z,pilot-005,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,5,Shakhtar Donetsk,1764.684232286119,1764.684232286119,0.0,1764.684232286119,,,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,6,Slavia Praha,1621.8559129513487,1621.8559129513487,0.0,1621.8559129513487,,,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,7,Benfica,1881.3345310017787,1837.638851511798,0.0,1837.638851511798,2027-05-04T19:00:00Z,pilot-004,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,8,AZ Alkmaar,1741.8042673761188,1741.8042673761188,0.0,1741.8042673761188,,,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,9,Omonia Nicosia,1398.414730744317,1398.414730744317,0.0,1398.414730744317,,,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
