team_id,team_name,competition_track,strength_band,synthetic_profile,start_rank,start_elo,final_rank,final_live_elo,total_elo_change,rank_change,classic_final_elo,goal_difference_net_effect_vs_classic,matches,wins,draws,losses,goals_for,goals_against,average_goal_multiplier,maximum_goal_multiplier,cumulative_absolute_gd_extra
T01,Apex City,UCL,ELITE,elite favorite,1,1940.0,1,1902.5704703858742,-37.42952961412584,0,1903.9627798873187,-1.3923095014445153,4,2,1,1,7,4,1.0077741677005443,1.0229033149929252,1.7756565384600869
T03,Northbridge FC,UCL,STRONG,strong contender,4,1740.0,2,1873.3276038219283,133.32760382192828,2,1870.0333886200347,3.2942152018936213,3,3,0,0,7,0,1.025216411546907,1.0527459196477953,3.402366819492478
T02,Royal Union,UCL,ELITE,elite contender,2,1840.0,3,1872.4781010158374,32.47810101583741,-1,1871.0039923493923,1.4741086664450904,4,2,2,0,9,4,1.0129881587014875,1.0439733957958732,1.5789738555493198
T09,Meridian SK,UEL,STRONG,UEL favorite,3,1760.0,4,1775.122200422743,15.122200422742935,-1,1773.987953456109,1.1342469666340094,4,3,0,1,11,3,1.0306430532385986,1.046533851040381,5.109925120577618
T04,Capital Athletic,UCL,STRONG,strong balanced,5,1640.0,5,1674.4954517869617,34.49545178696167,0,1673.7123017144017,0.7831500725599199,3,2,0,1,6,4,1.0392298083794422,1.047977738702575,3.95091373706693
T15,Aurora SC,UECL,MID,UECL favorite,7,1540.0,6,1635.7497343178954,95.74973431789545,1,1635.1594166268862,0.5903176910092043,4,4,0,0,10,1,1.0125706133926564,1.0388477044000826,1.335637125489903
T11,Riverside 21,UEL,MID,balanced UEL side,9,1520.0,7,1554.9437464735015,34.943746473501506,2,1553.9487186046676,0.9950278688338585,3,2,0,1,6,3,1.0445146249359958,1.058691682064343,4.556408249540816
T05,Danube 04,UCL,MID,mid-table champion,7,1540.0,8,1501.5642431528859,-38.435756847114135,-1,1503.1444400222422,-1.580196869356314,3,1,0,2,2,5,1.015992579567525,1.047977738702575,1.6720554036397282
T10,Forge United,UEL,STRONG,UEL contender,5,1640.0,9,1495.4355464221167,-144.56445357788334,-4,1499.5822610790005,-4.146714656883887,4,1,0,3,3,7,1.0239007575732706,1.0601475219623189,4.655484566907788
T06,Alpine Rovers,UCL,MID,mid-table challenger,10,1440.0,10,1463.9800337979957,23.980033797995702,0,1462.998544676379,0.9814891216167325,3,1,1,1,7,4,1.0127319307134854,1.0381957921404563,1.0176135057785807
T13,Portside FC,UEL,LOW,underdog candidate,15,1280.0,11,1405.5880255077711,125.58802550777114,4,1403.7428262617505,1.8451992460206839,3,2,1,0,5,2,1.0097160348042353,1.0291481044127058,2.0360059723606447
T12,Amber City,UEL,MID,volatile UEL side,12,1400.0,12,1387.3062083260497,-12.693791673950273,0,1385.2571852424442,2.0490230836055616,3,1,0,2,3,4,1.0294886212218608,1.0601475219623189,4.261340901223363
T18,Island Rovers,UECL,LOW,upset candidate,17,1180.0,13,1377.6766194269962,197.67661942699624,4,1366.5525189579628,11.124100469033465,3,3,0,0,9,0,1.0723296540639478,1.1325099248864023,12.447039517093046
T07,Baltic Crown,UCL,LOW,lower seed,13,1340.0,14,1261.1028134445678,-78.8971865554322,-1,1262.9016393983359,-1.7988259537680733,3,0,0,3,0,7,1.0202417195526239,1.0527459196477953,1.8206675569195294
T17,Cedar United,UECL,LOW,balanced lower seed,14,1300.0,15,1245.2451660214647,-54.754833978535316,-1,1247.9878025292908,-2.7426365078260915,3,1,0,2,2,5,1.0149611698940937,1.0448835096822806,3.1595983308200317
T16,Granite Town,UECL,MID,UECL contender,11,1420.0,16,1235.2869682570013,-184.71303174299874,-5,1242.72355628017,-7.436588023168724,4,0,1,3,1,8,1.0430263631273906,1.1325099248864023,9.287441186273014
T08,Horizon Club,UCL,LOW,lowest UCL seed,16,1240.0,17,1170.4812825939491,-69.51871740605088,-1,1172.2429133318956,-1.7616307379464615,3,0,0,3,1,11,1.0240424795298624,1.0381957921404563,1.911455259543601
T14,Meadow Athletic,UEL,LOW,lowest UEL seed,18,1160.0,18,1141.604272847818,-18.395727152181962,0,1143.4810553560283,-1.8767825082102263,3,0,1,2,2,11,1.0233754770782955,1.058691682064343,2.1447907427768484
T19,Valley 1908,UECL,VERY_LOW,developing side,19,1060.0,19,1091.1355064445527,31.135506444552675,0,1090.8346742186807,0.300832225872,3,1,1,1,5,4,1.0287927763782243,1.0475306247345906,2.645464623682468
T20,Frontier FC,UECL,VERY_LOW,lowest pilot seed,20,940.0,20,854.9060055320898,-85.09399446791019,0,856.7420313870095,-1.8360258549197397,3,0,0,3,0,9,1.0196551246350447,1.0475306247345906,1.5779854739611459
