season,club_key,local_team_id,ao_first_elo,power_elo_end,achievement_reserve_end,ao_live_rating_end
2018/19,ALB::fkkukesi,1,593.3582693506913,599.3521122958546,0.0,599.3521122958546
2018/19,ALB::kflaci,2,586.8901466483222,579.2477910269987,0.0,579.2477910269987
2018/19,ALB::luftetarigjirokaster,3,626.2468316227108,606.8105643651171,0.0,606.8105643651171
2018/19,ALB::partizanitirana,4,576.7627140073251,566.109350991893,0.0,566.109350991893
2018/19,AND::fcsantacoloma,5,567.4799362705412,554.9741360129891,0.0,554.9741360129891
2018/19,AND::santjulia,6,542.8543561923273,525.02367908015,0.0,525.02367908015
2018/19,AND::ueengordany,7,570.7181004092447,554.8336919376525,0.0,554.8336919376525
2018/19,ARM::alashkertfc,8,590.9031170464835,575.7191362469105,0.0,575.7191362469105
2018/19,ARM::urartufc,9,578.8600119024265,553.0374083250523,0.0,553.0374083250523
2018/19,ARM::gandzasarkapan,10,571.8799412473508,581.3498606453277,0.0,581.3498606453277
2018/19,ARM::pyunikyerevan,11,552.2886053244774,598.8102312778339,0.0,598.8102312778339
2018/19,AUT::admirawacker,12,639.4924690077879,613.8859528049595,0.0,613.8859528049595
2018/19,AUT::fcsalzburg,13,827.6948549325301,855.693501946046,0.0,855.693501946046
2018/19,AUT::lask,14,678.8900735606852,719.6501421821027,0.0,719.6501421821027
2018/19,AUT::rapidwien,15,708.156757774125,708.6653459956402,0.0,708.6653459956402
2018/19,AUT::sturmgraz,16,632.7425527302513,600.4785556147463,0.0,600.4785556147463
2018/19,AZB::gabalafk,17,623.2821002747487,619.236795991812,0.0,619.236795991812
2018/19,AZB::keslafk,18,587.3389967883436,585.6519370174982,0.0,585.6519370174982
2018/19,AZB::neftchibaku,19,598.010650921151,600.2668331585699,0.0,600.2668331585699
2018/19,AZB::qarabagfk,20,731.0537940715767,681.8428995541353,0.0,681.8428995541353
2018/19,BLS::bateborisov,21,721.9664843571258,749.2153248492074,0.0,749.2153248492074
2018/19,BLS::dinamominsk,22,631.306153628453,672.3674704291897,0.0,672.3674704291897
2018/19,BLS::dynamobrest,23,626.9491254112024,646.4179556686457,0.0,646.4179556686457
2018/19,BLS::shakhtiorsaligorsk,24,578.1826210978666,591.7421928924119,0.0,591.7421928924119
2018/19,BEL::aagent,25,753.6092150976556,744.0998968645549,0.0,744.0998968645549
2018/19,BEL::anderlecht,26,813.6513113834877,750.666131761563,0.0,750.666131761563
2018/19,BEL::clubbrugge,27,743.2178862264032,783.611982261605,0.0,783.611982261605
2018/19,BEL::racinggenk,28,708.4138014935085,752.497215214104,0.0,752.497215214104
2018/19,BEL::standardliege,29,683.3463219221941,723.2053675030729,0.0,723.2053675030729
2018/19,BOS::fksarajevo,30,578.5637527224535,603.1647181895817,0.0,603.1647181895817
2018/19,BOS::sirokibrijeg,31,567.516380666283,571.6168149705651,0.0,571.6168149705651
2018/19,BOS::zeljeznicarsarajevo,32,578.4493190378448,584.7380946602331,0.0,584.7380946602331
2018/19,BOS::zrinjskimostar,33,597.2492211507895,603.7729833363204,0.0,603.7729833363204
2018/19,BUL::cskasofia,34,653.822988178303,658.2317568455048,0.0,658.2317568455048
2018/19,BUL::levskisofia,35,596.0337523732849,594.7606785805671,0.0,594.7606785805671
2018/19,BUL::ludogoretsrazgrad,36,766.1285415011839,717.8795728558127,0.0,717.8795728558127
2018/19,BUL::slaviasofia,37,620.9700150958193,618.3169541551157,0.0,618.3169541551157
2018/19,CRO::dinamozagreb,38,706.4838290714468,784.8595035649682,0.0,784.8595035649682
2018/19,CRO::hajduksplit,39,631.9175572430433,658.9619221419833,0.0,658.9619221419833
2018/19,CRO::nkosijek,40,628.5305375149153,629.8072034904088,0.0,629.8072034904088
2018/19,CRO::nkrijeka,41,688.6580668807204,673.2041689024883,0.0,673.2041689024883
2018/19,CYP::aeklarnaca,42,619.98479991669,674.288304014151,0.0,674.288304014151
2018/19,CYP::apoelnicosia,43,759.9122417450245,729.659301417442,0.0,729.659301417442
2018/19,CYP::anorthosisfamagusta,44,669.6834848328738,658.0345789048237,0.0,658.0345789048237
2018/19,CYP::apollonlimassol,45,653.8438986351102,699.948935572072,0.0,699.948935572072
2018/19,CZE::fkjablonec,46,654.78460985918,664.888605388448,0.0,664.888605388448
2018/19,CZE::sigmaolomouc,47,681.8170017058316,693.9586687007028,0.0,693.9586687007028
2018/19,CZE::slaviapraha,48,678.3920848861975,761.3802242571852,0.0,761.3802242571852
2018/19,CZE::spartapraha,49,771.7481447313537,760.1212150882079,0.0,760.1212150882079
2018/19,CZE::viktoriaplzen,50,778.661609960878,792.8947625295989,0.0,792.8947625295989
2018/19,DEN::brndbyif,51,620.4400749491418,636.8433876739331,0.0,636.8433876739331
2018/19,DEN::fckbenhavn,52,780.6019208527775,746.7480497786198,0.0,746.7480497786198
2018/19,DEN::fcmidtjylland,53,679.4478185912378,680.8235778627992,0.0,680.8235778627992
2018/19,DEN::fcnordsjlland,54,675.0488775346132,682.2471054942491,0.0,682.2471054942491
2018/19,ENG::arsenal,55,884.7513879453472,897.0364585472801,0.0,897.0364585472801
2018/19,ENG::burnleyfc,56,720.7396445717496,726.2019464921453,0.0,726.2019464921453
2018/19,ENG::chelsea,57,835.4428603935345,907.3761069292893,0.0,907.3761069292893
2018/19,ENG::liverpool,58,836.4986191235561,910.230985336137,0.0,910.230985336137
2018/19,ENG::manchestercity,59,898.4857861260135,919.2758081483934,0.0,919.2758081483934
2018/19,ENG::manchesterunited,60,881.4790169028872,852.998228697598,0.0,852.998228697598
2018/19,ENG::tottenhamhotspur,61,855.9206892044101,871.120173974981,0.0,871.120173974981
2018/19,EST::floratallinn,62,570.6066188224768,578.2614673792592,0.0,578.2614673792592
2018/19,EST::kaljunomme,63,578.4376056696317,581.2331198547515,0.0,581.2331198547515
2018/19,EST::levadiatallinn,64,566.2891344267863,547.2258958688948,0.0,547.2258958688948
2018/19,EST::transnarva,65,586.8524866757745,560.0355213738637,0.0,560.0355213738637
2018/19,FAR::b36torshavn,66,557.253370746798,572.6873993700933,0.0,572.6873993700933
2018/19,FAR::kiklaksvik,67,566.7611355822817,572.1861516307273,0.0,572.1861516307273
2018/19,FAR::nsirunavik,68,549.8351931904116,532.3629563769318,0.0,532.3629563769318
