season,team_id,team_name,ao_first_elo,power_elo,achievement_reserve,ao_live_elo,last_event_utc,last_match_id,model_version,config_id
2026/27,T01,Apex City,1940.0,1902.5704703858742,0.0,1902.5704703858742,2026-10-01T19:00:00Z,pilot20-031,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T02,Royal Union,1840.0,1872.4781010158374,0.0,1872.4781010158374,2026-10-01T19:00:00Z,pilot20-031,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T03,Northbridge FC,1740.0,1873.3276038219283,0.0,1873.3276038219283,2026-09-24T17:00:00Z,pilot20-021,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T04,Capital Athletic,1640.0,1674.4954517869617,0.0,1674.4954517869617,2026-09-24T17:05:00Z,pilot20-022,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T05,Danube 04,1540.0,1501.5642431528859,0.0,1501.5642431528859,2026-09-24T17:10:00Z,pilot20-023,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T06,Alpine Rovers,1440.0,1463.9800337979957,0.0,1463.9800337979957,2026-09-24T17:15:00Z,pilot20-024,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T07,Baltic Crown,1340.0,1261.1028134445678,0.0,1261.1028134445678,2026-09-24T17:10:00Z,pilot20-023,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T08,Horizon Club,1240.0,1170.4812825939491,0.0,1170.4812825939491,2026-09-24T17:15:00Z,pilot20-024,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T09,Meridian SK,1760.0,1775.122200422743,0.0,1775.122200422743,2026-10-01T19:05:00Z,pilot20-032,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T10,Forge United,1640.0,1495.4355464221167,0.0,1495.4355464221167,2026-10-01T19:05:00Z,pilot20-032,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T11,Riverside 21,1520.0,1554.9437464735015,0.0,1554.9437464735015,2026-09-24T17:20:00Z,pilot20-025,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T12,Amber City,1400.0,1387.3062083260497,0.0,1387.3062083260497,2026-09-24T17:25:00Z,pilot20-026,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T13,Portside FC,1280.0,1405.5880255077711,0.0,1405.5880255077711,2026-09-24T17:30:00Z,pilot20-027,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T14,Meadow Athletic,1160.0,1141.604272847818,0.0,1141.604272847818,2026-09-24T17:30:00Z,pilot20-027,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T15,Aurora SC,1540.0,1635.7497343178954,0.0,1635.7497343178954,2026-10-01T19:10:00Z,pilot20-033,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T16,Granite Town,1420.0,1235.2869682570013,0.0,1235.2869682570013,2026-10-01T19:10:00Z,pilot20-033,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T17,Cedar United,1300.0,1245.2451660214647,0.0,1245.2451660214647,2026-09-24T17:35:00Z,pilot20-028,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T18,Island Rovers,1180.0,1377.6766194269962,0.0,1377.6766194269962,2026-09-24T17:40:00Z,pilot20-029,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T19,Valley 1908,1060.0,1091.1355064445527,0.0,1091.1355064445527,2026-09-24T17:45:00Z,pilot20-030,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
2026/27,T20,Frontier FC,940.0,854.9060055320898,0.0,854.9060055320898,2026-09-24T17:45:00Z,pilot20-030,ao-european-elo-v2.0-dev-freeze,bff511c9a9be10cb
