team_id,team_name,country,country_code,domestic_league
1,FK Kukësi,Albania,ALB,Historical domestic league
2,KF Laçi,Albania,ALB,Historical domestic league
3,Luftëtari Gjirokastër,Albania,ALB,Historical domestic league
4,Partizani Tirana,Albania,ALB,Historical domestic league
5,FC Santa Coloma,Andorra,AND,Historical domestic league
6,Sant Julià,Andorra,AND,Historical domestic league
7,UE Engordany,Andorra,AND,Historical domestic league
8,Alashkert FC,Armenia,ARM,Historical domestic league
9,Banants Yerevan,Armenia,ARM,Historical domestic league
10,Gandzasar Kapan,Armenia,ARM,Historical domestic league
11,Pyunik Yerevan,Armenia,ARM,Historical domestic league
12,Admira Wacker,Austria,AUT,Historical domestic league
13,FC Salzburg,Austria,AUT,Historical domestic league
14,LASK Linz,Austria,AUT,Historical domestic league
15,Rapid Wien,Austria,AUT,Historical domestic league
16,Sturm Graz,Austria,AUT,Historical domestic league
17,Gabala FK,Azerbaijan,AZB,Historical domestic league
18,Kesla FK,Azerbaijan,AZB,Historical domestic league
19,Neftchi Baku,Azerbaijan,AZB,Historical domestic league
20,Qarabag FK,Azerbaijan,AZB,Historical domestic league
21,BATE Borisov,Belarus,BLS,Historical domestic league
22,Dinamo Minsk,Belarus,BLS,Historical domestic league
23,Dynamo Brest,Belarus,BLS,Historical domestic league
24,Shakhtior Saligorsk,Belarus,BLS,Historical domestic league
25,AA Gent,Belgium,BEL,Historical domestic league
26,Anderlecht,Belgium,BEL,Historical domestic league
27,Club Brugge,Belgium,BEL,Historical domestic league
28,Racing Genk,Belgium,BEL,Historical domestic league
29,Standard Liège,Belgium,BEL,Historical domestic league
30,FK Sarajevo,Bosnia-Herzegovina,BOS,Historical domestic league
31,Siroki Brijeg,Bosnia-Herzegovina,BOS,Historical domestic league
32,Zeljeznicar Sarajevo,Bosnia-Herzegovina,BOS,Historical domestic league
33,Zrinjski Mostar,Bosnia-Herzegovina,BOS,Historical domestic league
34,CSKA Sofia,Bulgaria,BUL,Historical domestic league
35,Levski Sofia,Bulgaria,BUL,Historical domestic league
36,Ludogorets Razgrad,Bulgaria,BUL,Historical domestic league
37,Slavia Sofia,Bulgaria,BUL,Historical domestic league
38,Dinamo Zagreb,Croatia,CRO,Historical domestic league
39,Hajduk Split,Croatia,CRO,Historical domestic league
40,NK Osijek,Croatia,CRO,Historical domestic league
41,NK Rijeka,Croatia,CRO,Historical domestic league
42,AEK Larnaca,Cyprus,CYP,Historical domestic league
43,APOEL Nicosia,Cyprus,CYP,Historical domestic league
44,Anorthosis Famagusta,Cyprus,CYP,Historical domestic league
45,Apollon Limassol,Cyprus,CYP,Historical domestic league
46,FK Jablonec,Czechia,CZE,Historical domestic league
47,Sigma Olomouc,Czechia,CZE,Historical domestic league
48,Slavia Praha,Czechia,CZE,Historical domestic league
49,Sparta Praha,Czechia,CZE,Historical domestic league
50,Viktoria Plzen,Czechia,CZE,Historical domestic league
51,Brøndby IF,Denmark,DEN,Historical domestic league
52,FC København,Denmark,DEN,Historical domestic league
53,FC Midtjylland,Denmark,DEN,Historical domestic league
54,FC Nordsjælland,Denmark,DEN,Historical domestic league
55,Arsenal,England,ENG,Historical domestic league
56,Burnley FC,England,ENG,Historical domestic league
57,Chelsea,England,ENG,Historical domestic league
58,Liverpool,England,ENG,Historical domestic league
59,Manchester City,England,ENG,Historical domestic league
60,Manchester United,England,ENG,Historical domestic league
61,Tottenham Hotspur,England,ENG,Historical domestic league
62,Flora Tallinn,Estonia,EST,Historical domestic league
63,Kalju Nomme,Estonia,EST,Historical domestic league
64,Levadia Tallinn,Estonia,EST,Historical domestic league
65,Trans Narva,Estonia,EST,Historical domestic league
66,B36 Torshavn,Faroe Islands,FAR,Historical domestic league
67,KI Klaksvik,Faroe Islands,FAR,Historical domestic league
68,NSI Runavik,Faroe Islands,FAR,Historical domestic league
69,Víkingur,Faroe Islands,FAR,Historical domestic league
70,FC Lahti,Finland,FIN,Historical domestic league
71,HJK Helsinki,Finland,FIN,Historical domestic league
72,Ilves Tampere,Finland,FIN,Historical domestic league
73,KuPS Kuopio,Finland,FIN,Historical domestic league
74,AS Monaco,France,FRA,Historical domestic league
75,Girondins Bordeaux,France,FRA,Historical domestic league
76,Olympique Lyon,France,FRA,Historical domestic league
77,Olympique Marseille,France,FRA,Historical domestic league
78,Paris Saint-Germain,France,FRA,Historical domestic league
79,Stade Rennais,France,FRA,Historical domestic league
80,Chikhura Sachkhere,Georgia,GEO,Historical domestic league
81,Dinamo Tbilisi,Georgia,GEO,Historical domestic league
82,Samtredia,Georgia,GEO,Historical domestic league
83,Torpedo Kutaisi,Georgia,GEO,Historical domestic league
84,1899 Hoffenheim,Germany,GER,Historical domestic league
85,Bayer Leverkusen,Germany,GER,Historical domestic league
86,Bayern München,Germany,GER,Historical domestic league
87,Borussia Dortmund,Germany,GER,Historical domestic league
88,Eintracht Frankfurt,Germany,GER,Historical domestic league
89,RB Leipzig,Germany,GER,Historical domestic league
90,Schalke 04,Germany,GER,Historical domestic league
91,Europa FC,Gibraltar,GIB,Historical domestic league
92,Lincoln Red Imps,Gibraltar,GIB,Historical domestic league
93,St Joseph's FC,Gibraltar,GIB,Historical domestic league
94,AEK Athens,Greece,GRE,Historical domestic league
95,Asteras Tripolis,Greece,GRE,Historical domestic league
96,Atromitos FC,Greece,GRE,Historical domestic league
97,Olympiakos Piraeus,Greece,GRE,Historical domestic league
98,PAOK Thessaloniki,Greece,GRE,Historical domestic league
99,Ferencváros,Hungary,HUN,Historical domestic league
100,Honvéd Budapest,Hungary,HUN,Historical domestic league
101,Videoton Fehérvár,Hungary,HUN,Historical domestic league
102,Újpest TE,Hungary,HUN,Historical domestic league
103,FH Hafnarfjardar,Iceland,ISL,Historical domestic league
104,IBV Vestmannaeyjar,Iceland,ISL,Historical domestic league
105,Stjarnan FC,Iceland,ISL,Historical domestic league
106,Valur Reykjavik,Iceland,ISL,Historical domestic league
107,Cork City,Ireland,IRL,Historical domestic league
108,Derry City,Ireland,IRL,Historical domestic league
109,Dundalk,Ireland,IRL,Historical domestic league
110,Shamrock Rovers,Ireland,IRL,Historical domestic league
111,Beitar Jerusalem,Israel,ISR,Historical domestic league
112,Hapoel Beer-Sheva,Israel,ISR,Historical domestic league
113,Hapoel Haifa,Israel,ISR,Historical domestic league
114,Maccabi Tel-Aviv,Israel,ISR,Historical domestic league
115,AC Milan,Italy,ITA,Historical domestic league
116,AS Roma,Italy,ITA,Historical domestic league
