event_order,match_id,uefa_match_id,season,kickoff_utc,competition,round,source_round,tie_id,leg_number,is_knockout,is_tie_decider,is_single_match_tie,stage,home_team_id,away_team_id,home_team_name,away_team_name,is_neutral
342,UEFA-2049677,2049677,2026/27,2027-01-20T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52319,AO-UEFA-50062,Viking,PSV,False
343,UEFA-2050167,2050167,2026/27,2027-01-21T17:45:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-2610,AO-UEFA-2600431,Olympiacos,Hoffenheim,False
344,UEFA-2050168,2050168,2026/27,2027-01-21T17:45:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50123,AO-UEFA-64388,Real Sociedad,Viktoria Plzeň,False
345,UEFA-2050169,2050169,2026/27,2027-01-21T17:45:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52298,AO-UEFA-50139,Ferencváros,Juventus,False
346,UEFA-2050173,2050173,2026/27,2027-01-21T17:45:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50111,AO-UEFA-52953,Sturm Graz,OFI Crete,False
347,UEFA-2050176,2050176,2026/27,2027-01-21T17:45:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-2600277,AO-UEFA-5312,Jagiellonia,Lyon,False
348,UEFA-2050177,2050177,2026/27,2027-01-21T17:45:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50157,AO-UEFA-64125,Beşiktaş,Union SG,False
349,UEFA-2050179,2050179,2026/27,2027-01-21T17:45:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52330,AO-UEFA-50147,N.E.C.,Benfica,False
350,UEFA-2050180,2050180,2026/27,2027-01-21T17:45:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52314,AO-UEFA-2601124,Lillestrøm,Bournemouth,False
351,UEFA-2050182,2050182,2026/27,2027-01-21T17:45:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-2610304,AO-UEFA-59030,Ararat-Armenia,Celje,False
352,UEFA-2050165,2050165,2026/27,2027-01-21T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50109,AO-UEFA-50030,Leverkusen,Salzburg,False
353,UEFA-2050166,2050166,2026/27,2027-01-21T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52327,AO-UEFA-50164,AZ Alkmaar,GNK Dinamo,False
354,UEFA-2050170,2050170,2026/27,2027-01-21T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50050,AO-UEFA-52748,Celtic,Marseille,False
355,UEFA-2050171,2050171,2026/27,2027-01-21T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-55031,AO-UEFA-50077,Rennes,Omonia,False
356,UEFA-2050172,2050172,2026/27,2027-01-21T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50074,AO-UEFA-53360,Anderlecht,Sunderland,False
357,UEFA-2050174,2050174,2026/27,2027-01-21T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-64227,AO-UEFA-2603107,Lech Poznań,Torreense,False
358,UEFA-2050175,2050175,2026/27,2027-01-21T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52916,AO-UEFA-50033,Crystal Palace,Sparta Praha,False
359,UEFA-2050178,2050178,2026/27,2027-01-21T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-59340,AO-UEFA-53043,H. Beer-Sheva,Celta,False
360,UEFA-2050181,2050181,2026/27,2027-01-21T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50044,AO-UEFA-50058,Levski Sofia,Milan,False
361,UEFA-2049679,2049679,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52747,AO-UEFA-50067,Paris,Galatasaray,False
362,UEFA-2049680,2049680,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50037,AO-UEFA-52265,Bayern München,Real Betis,False
363,UEFA-2049681,2049681,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-7889,AO-UEFA-52277,Liverpool,Lens,False
364,UEFA-2049682,2049682,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52919,AO-UEFA-50149,Man City,Sporting CP,False
365,UEFA-2049683,2049683,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52280,AO-UEFA-2609356,Arsenal,Sabah,False
366,UEFA-2049684,2049684,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50080,AO-UEFA-79946,Barcelona,Como,False
367,UEFA-2049685,2049685,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50124,AO-UEFA-52692,Atleti,Fenerbahçe,False
368,UEFA-2049686,2049686,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52758,AO-UEFA-50129,B. Dortmund,AEK Athens,False
369,UEFA-2049687,2049687,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50137,AO-UEFA-75797,Roma,Lille,False
370,UEFA-2049688,2049688,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50043,AO-UEFA-59333,Club Brugge,Bodø/Glimt,False
371,UEFA-2049689,2049689,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50062,AO-UEFA-50107,PSV,Stuttgart,False
372,UEFA-2049690,2049690,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52749,AO-UEFA-2603790,Feyenoord,Leipzig,False
373,UEFA-2049691,2049691,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50136,AO-UEFA-52319,Napoli,Viking,False
374,UEFA-2049692,2049692,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-70691,AO-UEFA-52682,Villarreal,Man Utd,False
375,UEFA-2049693,2049693,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52707,AO-UEFA-50051,Shakhtar,Real Madrid,False
376,UEFA-2049694,2049694,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52498,AO-UEFA-52683,Slavia Praha,Aston Villa,False
377,UEFA-2049695,2049695,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52797,AO-UEFA-50138,S. Bratislava,Inter,False
378,UEFA-2049696,2049696,2026/27,2027-01-27T20:00:00Z,UCL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-63405,AO-UEFA-50064,LASK,Porto,False
379,UEFA-2050183,2050183,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50147,AO-UEFA-52327,Benfica,AZ Alkmaar,False
380,UEFA-2050184,2050184,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50139,AO-UEFA-50123,Juventus,Real Sociedad,False
381,UEFA-2050185,2050185,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50058,AO-UEFA-2610304,Milan,Ararat-Armenia,False
382,UEFA-2050186,2050186,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-5312,AO-UEFA-50109,Lyon,Leverkusen,False
383,UEFA-2050187,2050187,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52748,AO-UEFA-50074,Marseille,Anderlecht,False
384,UEFA-2050188,2050188,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-64388,AO-UEFA-2600277,Viktoria Plzeň,Jagiellonia,False
385,UEFA-2050189,2050189,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-64125,AO-UEFA-50050,Union SG,Celtic,False
386,UEFA-2050190,2050190,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50164,AO-UEFA-50111,GNK Dinamo,Sturm Graz,False
387,UEFA-2050191,2050191,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50030,AO-UEFA-52916,Salzburg,Crystal Palace,False
388,UEFA-2050192,2050192,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50033,AO-UEFA-55031,Sparta Praha,Rennes,False
389,UEFA-2050193,2050193,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-2601124,AO-UEFA-59340,Bournemouth,H. Beer-Sheva,False
390,UEFA-2050194,2050194,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-53360,AO-UEFA-50044,Sunderland,Levski Sofia,False
391,UEFA-2050195,2050195,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-59030,AO-UEFA-52330,Celje,N.E.C.,False
392,UEFA-2050196,2050196,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-50077,AO-UEFA-50157,Omonia,Beşiktaş,False
393,UEFA-2050197,2050197,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-53043,AO-UEFA-52314,Celta,Lillestrøm,False
394,UEFA-2050198,2050198,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-2600431,AO-UEFA-52298,Hoffenheim,Ferencváros,False
395,UEFA-2050199,2050199,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-2603107,AO-UEFA-2610,Torreense,Olympiacos,False
396,UEFA-2050200,2050200,2026/27,2027-01-28T20:00:00Z,UEL,League Stage,League phase,,0,False,False,False,LEAGUE,AO-UEFA-52953,AO-UEFA-64227,OFI Crete,Lech Poznań,False
