ao_club_id,league_id,duplicate_only_max_abs_input_delta,full_fix_max_abs_input_delta,before_attack_raw_z,before_defence_raw_z,before_home_venue_raw_z,before_away_venue_raw_z,before_attack,before_defence,before_home_venue,before_away_venue,before_reliability,before_effective_matches,before_covered,after_attack_raw_z,after_defence_raw_z,after_home_venue_raw_z,after_away_venue_raw_z,after_attack,after_defence,after_home_venue,after_away_venue,after_reliability,after_effective_matches,after_covered
AO-UEFA-1652,4328,0.0,0.0,0.2717664252313948,-0.24588904031236836,0.0,0.0,0.2625040531168631,-0.23750862397389289,0.0,0.0,0.9659178939906012,283.4090985234981,True,0.2717664252313948,-0.24588904031236836,0.0,0.0,0.2625040531168631,-0.23750862397389289,0.0,0.0,0.9659178939906012,283.4090985234981,True
AO-UEFA-2600277,4422,2.220446049250313e-16,0.0,1.4261907387076813,0.9768396483337892,0.0,0.0,1.3337330194131574,0.9135126587873239,0.0,0.0,0.9351715610085205,144.25329000000002,True,1.4261907387076813,0.9768396483337892,0.0,0.0,1.3337330194131574,0.9135126587873239,0.0,0.0,0.9351715610085205,144.25329000000002,True
AO-UEFA-2600288,4339,5.711773570316048e-05,5.711773570316048e-05,1.5531055037846369,1.422690134232022,0.0,0.0,1.4594195614166612,1.3368710668226573,0.0,0.0,0.9396783141005681,155.77786,True,1.5530720882850373,1.4226330164963188,0.0,0.0,1.4593881615963324,1.3368173945250665,0.0,0.0,0.9396783141005681,155.77786,True
AO-UEFA-2600293,4336,0.002131130009637827,0.002131130009637827,-0.6814638648895303,-0.09519810005071587,0.0,0.0,-0.6410199310541198,-0.0895482250418156,0.0,0.0,0.9406513889889573,158.49594000000002,True,-0.6793327348798924,-0.09672005921660215,0.0,0.0,-0.6390152806504379,-0.09097985804519101,0.0,0.0,0.9406513889889573,158.49594000000002,True
AO-UEFA-2600431,4331,2.7755575615628914e-17,0.0,0.9188147402651443,-0.11975463036264863,0.0,0.0,0.8839552393344811,-0.11521118273862237,0.0,0.0,0.9620603595011942,253.576561836814,True,0.9188147402651443,-0.11975463036264863,0.0,0.0,0.8839552393344811,-0.11521118273862237,0.0,0.0,0.9620603595011942,253.576561836814,True
AO-UEFA-2600544,AO-DOMESTIC:GEO,1.1102230246251565e-16,0.010657873133623208,-0.16557177915758567,0.5803305392793138,0.0,0.0,-0.1536482580228847,0.5385384930416305,0.0,0.0,0.9279857884274314,128.86148,True,-0.1552808456112593,0.5696726661456906,0.0,0.0,-0.1440984179422427,0.5286481382387656,0.0,0.0,0.9279857884274314,128.86148,True
AO-UEFA-2600545,4422,2.7755575615628914e-17,0.0,-0.23701567108659466,-0.09763919848254662,0.0,0.0,-0.22174928471329497,-0.09135017243468982,0.0,0.0,0.935589126645883,145.25329000000002,True,-0.23701567108659466,-0.09763919848254662,0.0,0.0,-0.22174928471329497,-0.09135017243468982,0.0,0.0,0.935589126645883,145.25329000000002,True
AO-UEFA-2600605,AO-DOMESTIC:KAZ,0.5314409999999441,53.554337679815404,2.675713546248609,1.491442152093393,0.0,0.0,2.499567144659489,1.39325818593681,0.0,0.0,0.9341684382335771,141.9028218634857,True,2.7408239597146946,1.4908745018314766,0.0,0.0,2.6074227209451566,1.4183107369500065,0.0,0.0,0.9513280529029583,195.45715954330112,True
AO-UEFA-2600783,AO-DOMESTIC:CRO,1.3877787807814457e-17,0.0,0.10060318110946542,0.12361973437390483,0.0,0.0,0.08125506896012932,0.09984505390992483,0.0,0.0,0.8076789229131474,41.99638100760001,True,0.10060318110946542,0.12361973437390483,0.0,0.0,0.08125506896012932,0.09984505390992483,0.0,0.0,0.8076789229131474,41.99638100760001,True
AO-UEFA-2601074,4621,0.0,0.0,-0.4566461924009107,0.4989395511074886,0.0,0.0,-0.4263534523432456,0.46584117784235524,0.0,0.0,0.9336625585370705,140.74443300000001,True,-0.4566461924009107,0.4989395511074886,0.0,0.0,-0.4263534523432456,0.46584117784235524,0.0,0.0,0.9336625585370705,140.74443300000001,True
