test_season,model,matches,brier,log_loss
2020/21,static_start_only,32,0.12548823647388718,0.5796549637821451
2020/21,dynamic_season_reset,32,0.13271836885502625,0.5977790904879865
2020/21,dynamic_carry_050,32,0.12907422626698323,0.5865359097059433
2020/21,dynamic_carry_085_current,32,0.12687245071566244,0.5793074085404396
2020/21,dynamic_carry_100,32,0.12605043529358845,0.5766358499106363
2020/21,clubelo_external,32,0.11180261093289649,0.552175063619817
2021/22,static_start_only,35,0.1757394445290153,0.6731633886135368
2021/22,dynamic_season_reset,35,0.18370912142768014,0.6882381275061433
2021/22,dynamic_carry_050,35,0.18007910793878595,0.6795154643398521
2021/22,dynamic_carry_085_current,35,0.17953113361668072,0.677577378282523
2021/22,dynamic_carry_100,35,0.18016660624457423,0.6787942442814359
2021/22,clubelo_external,35,0.16138310401867492,0.6391061449861885
2022/23,static_start_only,28,0.16992130311307727,0.5745224492711586
2022/23,dynamic_season_reset,28,0.14551265329267515,0.5220348037292538
2022/23,dynamic_carry_050,28,0.14404873032655235,0.5164641501388406
2022/23,dynamic_carry_085_current,28,0.14471813924429555,0.5164001029491578
2022/23,dynamic_carry_100,28,0.14576343752267176,0.5183675456231452
2022/23,clubelo_external,28,0.15064170275449396,0.5360590049226975
2023/24,static_start_only,36,0.15327335882594595,0.6041773598380844
2023/24,dynamic_season_reset,36,0.15009121203398926,0.5994647064458047
2023/24,dynamic_carry_050,36,0.14566546401160918,0.5913610646090305
2023/24,dynamic_carry_085_current,36,0.14360677915829226,0.5929535589359742
2023/24,dynamic_carry_100,36,0.1442560324711467,0.6019549622230949
2023/24,clubelo_external,36,0.1292100844262466,0.5577506019474202
2024/25,static_start_only,40,0.23934233918440623,0.7881758033653121
2024/25,dynamic_season_reset,40,0.2231564207874302,0.7471951218531113
2024/25,dynamic_carry_050,40,0.2300698891797781,0.7617270960970063
2024/25,dynamic_carry_085_current,40,0.24243645801306365,0.7923525359023899
2024/25,dynamic_carry_100,40,0.25122391407785355,0.8184093153172622
2024/25,clubelo_external,40,0.2179340418525429,0.7328198769120962
