season,team_name,observations,mean_ao_live_rating,mean_clubelo_rating,ao_rank_percentile,clubelo_rank_percentile,ao_minus_clubelo_rank_percentile,absolute_rank_percentile_gap
2023/24,Lazio,6,769.8374390221373,1771.2283333333335,0.25,0.5625,-0.3125,0.3125
2022/23,Juventus,2,880.6260160671865,1759.5149999999999,0.7333333333333333,0.4666666666666667,0.2666666666666666,0.2666666666666666
2024/25,Benfica,4,861.180127023775,1786.7325,0.6875,0.4375,0.25,0.25
2024/25,Bologna,3,728.3716365086233,1757.7466666666667,0.125,0.375,-0.25,0.25
2022/23,Ajax,4,873.9676233317572,1867.545,0.6666666666666666,0.8666666666666667,-0.20000000000000007,0.20000000000000007
2022/23,Sevilla,2,808.0492713473818,1773.5900000000001,0.4,0.6,-0.19999999999999996,0.19999999999999996
2024/25,Aston Villa,8,800.3212077227822,1799.9524999999999,0.3125,0.5,-0.1875,0.1875
2024/25,Club Brugge,8,833.5518818450226,1717.01875,0.4375,0.25,0.1875,0.1875
2023/24,Arsenal,6,854.5486214044864,1941.4716666666666,0.6875,0.875,-0.1875,0.1875
2024/25,Arsenal,5,906.4078810043578,1981.632,0.8125,1.0,-0.1875,0.1875
2023/24,Sevilla,4,831.3656670969452,1736.5049999999999,0.625,0.4375,0.1875,0.1875
2023/24,Benfica,2,882.5552742856651,1786.9450000000002,0.875,0.6875,0.1875,0.1875
2024/25,FC Salzburg,2,755.06221673489,1566.975,0.25,0.0625,0.1875,0.1875
2021/22,Juventus,4,934.1813493042345,1832.525,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.16666666666666674
2021/22,Atalanta,2,821.0603067968301,1831.1750000000002,0.4444444444444444,0.6111111111111112,-0.16666666666666674,0.16666666666666674
2021/22,Benfica,8,847.4008576886806,1764.00625,0.5555555555555556,0.3888888888888889,0.16666666666666669,0.16666666666666669
2021/22,Villarreal,8,899.7302098747235,1815.55375,0.7222222222222222,0.5555555555555556,0.16666666666666663,0.16666666666666663
2020/21,Chelsea,6,899.049138391695,1864.3283333333331,0.8461538461538461,0.6923076923076923,0.15384615384615385,0.15384615384615385
2020/21,Real Madrid,6,888.0022472200677,1924.4483333333335,0.6923076923076923,0.8461538461538461,-0.15384615384615385,0.15384615384615385
2020/21,FK Krasnodar,4,768.8633685106961,1562.5525,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.15384615384615385
2020/21,Lazio,4,768.8274032251999,1746.7775000000001,0.15384615384615385,0.3076923076923077,-0.15384615384615385,0.15384615384615385
2020/21,Sevilla,4,898.5904033021952,1860.6200000000001,0.7692307692307693,0.6153846153846154,0.15384615384615385,0.15384615384615385
2020/21,RB Leipzig,2,852.7530956065614,1866.885,0.6153846153846154,0.7692307692307693,-0.15384615384615385,0.15384615384615385
2020/21,Atalanta,8,813.3302228008314,1821.77125,0.38461538461538464,0.5384615384615384,-0.1538461538461538,0.1538461538461538
2020/21,Ajax,6,845.7076078828585,1774.4516666666668,0.5384615384615384,0.38461538461538464,0.1538461538461538,0.1538461538461538
2022/23,Benfica,6,900.2283143977492,1802.5783333333331,0.8,0.6666666666666666,0.13333333333333341,0.13333333333333341
2022/23,Celtic,4,717.9811054702025,1634.02,0.13333333333333333,0.26666666666666666,-0.13333333333333333,0.13333333333333333
2022/23,FC København,4,782.008003512987,1576.2675,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333
2022/23,Napoli,4,857.1861479171721,1842.2875,0.6,0.7333333333333333,-0.1333333333333333,0.1333333333333333
2024/25,Bayern München,5,930.321642274986,1906.7540000000001,0.9375,0.8125,0.125,0.125
2024/25,RB Leipzig,5,840.0657850118226,1812.47,0.5,0.625,-0.125,0.125
2024/25,Real Madrid,5,954.2145546622794,1946.532,1.0,0.875,0.125,0.125
2023/24,FC København,4,793.6640347206444,1638.8725,0.3125,0.1875,0.125,0.125
2023/24,FC Salzburg,2,810.0330436453731,1716.89,0.5,0.375,0.125,0.125
2021/22,Ajax,4,894.7332591602196,1877.5425,0.6666666666666666,0.7777777777777778,-0.11111111111111116,0.11111111111111116
2021/22,FC Midtjylland,4,716.9242815784759,1580.885,0.1111111111111111,0.2222222222222222,-0.1111111111111111,0.1111111111111111
2021/22,FC Salzburg,4,802.4239018766194,1764.72,0.3333333333333333,0.4444444444444444,-0.1111111111111111,0.1111111111111111
2021/22,Real Madrid,3,922.4719696560877,1957.2966666666664,0.7777777777777778,0.8888888888888888,-0.11111111111111105,0.11111111111111105
2021/22,Sevilla,2,862.1261327330799,1837.58,0.6111111111111112,0.7222222222222222,-0.11111111111111105,0.11111111111111105
2020/21,FC Midtjylland,6,703.107631435218,1585.6000000000001,0.07692307692307693,0.15384615384615385,-0.07692307692307693,0.07692307692307693
2020/21,Club Brugge,2,789.1244914084689,1667.055,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.07692307692307693
2022/23,Chelsea,4,919.6387281112297,1865.2325,0.8666666666666667,0.8,0.06666666666666665,0.06666666666666665
2022/23,FC Salzburg,2,820.7900771413263,1748.7,0.4666666666666667,0.4,0.06666666666666665,0.06666666666666665
2023/24,Bayern München,10,982.7942906314518,1941.631,1.0,0.9375,0.0625,0.0625
2023/24,Real Madrid,8,976.9941553983689,1958.2125,0.9375,1.0,-0.0625,0.0625
2024/25,Juventus,7,843.4932944097296,1847.1642857142856,0.625,0.6875,-0.0625,0.0625
2023/24,PSV Eindhoven,6,826.6294330050893,1771.8983333333333,0.5625,0.625,-0.0625,0.0625
2023/24,Feyenoord,4,802.082786850332,1758.5475000000001,0.4375,0.5,-0.0625,0.0625
2023/24,Galatasaray,4,800.0937462053992,1702.82,0.375,0.3125,0.0625,0.0625
2023/24,Napoli,4,880.6882100604219,1881.9225,0.75,0.8125,-0.0625,0.0625
2023/24,Union Berlin,4,745.0327540102984,1684.6475,0.1875,0.25,-0.0625,0.0625
2024/25,Liverpool,4,925.8821379936909,1959.5075,0.875,0.9375,-0.0625,0.0625
2024/25,Feyenoord,3,803.7375933397856,1748.7166666666665,0.375,0.3125,0.0625,0.0625
2024/25,Sturm Graz,3,686.6402280191404,1581.12,0.0625,0.125,-0.0625,0.0625
2023/24,RB Leipzig,2,882.0950356268011,1807.295,0.8125,0.75,0.0625,0.0625
2021/22,Bayern München,6,997.5882576795244,2000.9366666666667,1.0,0.9444444444444444,0.05555555555555558,0.05555555555555558
2021/22,PSV Eindhoven,6,807.4833914490683,1676.4833333333333,0.3888888888888889,0.3333333333333333,0.05555555555555558,0.05555555555555558
2021/22,Liverpool,5,946.7639357081795,2042.3440000000003,0.9444444444444444,1.0,-0.05555555555555558,0.05555555555555558
2021/22,Celtic,2,719.8997926821435,1557.86,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.05555555555555555
2021/22,Galatasaray,2,719.989681599717,1572.52,0.2222222222222222,0.16666666666666666,0.05555555555555555,0.05555555555555555
2021/22,Chelsea,4,937.6483264421075,1953.2225,0.8888888888888888,0.8333333333333334,0.05555555555555547,0.05555555555555547
2020/21,Liverpool,10,901.0953719033005,1958.613,0.9230769230769231,0.9230769230769231,0.0,0.0
2022/23,Real Madrid,8,938.9353726997249,1962.97125,0.9333333333333333,0.9333333333333333,0.0,0.0
2022/23,Liverpool,6,941.0861946221986,1978.8683333333336,1.0,1.0,0.0,0.0
2024/25,Atalanta,6,875.5288715650067,1892.4099999999999,0.75,0.75,0.0,0.0
2024/25,Celtic,6,754.9001065845474,1682.6933333333334,0.1875,0.1875,0.0,0.0
2024/25,PSV Eindhoven,6,842.3279280306192,1811.3466666666666,0.5625,0.5625,0.0,0.0
2020/21,Bayern München,4,989.8538258285398,2044.7,1.0,1.0,0.0,0.0
2022/23,RB Leipzig,4,839.5863898806926,1768.9075,0.5333333333333333,0.5333333333333333,0.0,0.0
2023/24,Celtic,4,706.7927807198804,1630.2325,0.125,0.125,0.0,0.0
2020/21,FC Salzburg,2,815.1499320491253,1779.51,0.46153846153846156,0.46153846153846156,0.0,0.0
2021/22,Besiktas,2,714.0193242917358,1545.9,0.05555555555555555,0.05555555555555555,0.0,0.0
2021/22,Club Brugge,2,785.4754049924968,1620.27,0.2777777777777778,0.2777777777777778,0.0,0.0
2021/22,RB Leipzig,2,827.5890336539644,1799.755,0.5,0.5,0.0,0.0
2022/23,Club Brugge,2,806.7185830104709,1637.23,0.3333333333333333,0.3333333333333333,0.0,0.0
2022/23,FC Midtjylland,2,723.7173713808816,1577.11,0.2,0.2,0.0,0.0
2022/23,Trabzonspor,2,657.7198580417498,1574.73,0.06666666666666667,0.06666666666666667,0.0,0.0
2023/24,Sturm Graz,2,680.6332662279401,1590.35,0.0625,0.0625,0.0,0.0
